13:47:46.897 INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
13:47:47.004 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/hepi'] /home/hepi
13:47:47.284 INFO    thonny.shell: BaseShellText.restart(False)
13:47:52.980 INFO    thonny.running: Killing backend process
13:47:52.983 INFO    thonny.shell: BaseShellText._on_backend_terminated
13:47:53.014 INFO    thonny.running: Reader got EOF
13:47:54.790 INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
13:47:54.794 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/hepi'] /home/hepi
13:47:54.852 INFO    thonny.shell: BaseShellText.restart(False)
13:47:58.973 INFO    thonny.running: Killing backend process
13:47:58.976 INFO    thonny.shell: BaseShellText._on_backend_terminated
13:47:58.985 INFO    thonny.running: Reader got EOF
13:47:59.934 INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
13:47:59.949 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/hepi'] /home/hepi
13:48:00.043 INFO    thonny.shell: BaseShellText.restart(False)
13:48:05.399 INFO    thonny.running: Killing backend process
13:48:05.488 INFO    thonny.shell: BaseShellText._on_backend_terminated
13:48:05.521 INFO    thonny.running: Reader got EOF
13:48:07.478 INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
13:48:07.483 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/hepi'] /home/hepi
13:48:07.671 INFO    thonny.shell: BaseShellText.restart(False)
13:48:13.158 INFO    thonny.running: Killing backend process
13:48:13.167 INFO    thonny.shell: BaseShellText._on_backend_terminated
13:48:13.178 INFO    thonny.running: Reader got EOF
13:48:14.895 INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
13:48:14.920 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/hepi'] /home/hepi
13:48:15.201 INFO    thonny.shell: BaseShellText.restart(False)
13:48:20.070 INFO    thonny.running: Killing backend process
13:48:20.073 INFO    thonny.shell: BaseShellText._on_backend_terminated
13:48:20.097 INFO    thonny.running: Reader got EOF
13:48:21.642 INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
13:48:21.713 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/hepi'] /home/hepi
13:48:22.137 INFO    thonny.shell: BaseShellText.restart(False)
13:49:36.037 INFO    thonny.running: Killing backend process
13:49:36.084 INFO    thonny.shell: BaseShellText._on_backend_terminated
13:49:36.096 INFO    thonny.running: Reader got EOF
13:49:37.977 INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
13:49:37.992 INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '-m', 'thonny.plugins.cpython_backend.cp_launcher', '/home/hepi'] /home/hepi
13:49:38.114 INFO    thonny.shell: BaseShellText.restart(False)
13:49:48.495 INFO    thonny.running: Killing backend process
13:49:48.510 INFO    thonny.shell: BaseShellText._on_backend_terminated
13:49:48.528 INFO    thonny.running: Reader got EOF
